rxn number,sensitivity,cantera equation,cantera products,cantera reactants
857,-0.003949924127149942,C2HF4(54) + CO(12) <=> S(287),{'S(287)': 1.0},"{'C2HF4(54)': 1.0, 'CO(12)': 1.0}"
429,0.003874899026413338,C3HF4(147) <=> C3HF4(84),{'C3HF4(84)': 1.0},{'C3HF4(147)': 1.0}
1590,-0.0038629770220219815,C3HF4(147) + CH2F(46) <=> C3HF3(150) + CH2F2(41),"{'C3HF3(150)': 1.0, 'CH2F2(41)': 1.0}","{'C3HF4(147)': 1.0, 'CH2F(46)': 1.0}"
656,0.003843562149593857,CHF(40) + O2(3) <=> CFO2(1113) + H(5),"{'CFO2(1113)': 1.0, 'H(5)': 1.0}","{'CHF(40)': 1.0, 'O2(3)': 1.0}"
1529,-0.0038322700092233222,C3HF4(540) + CH2F(46) <=> C3HF3(150) + CH2F2(41),"{'C3HF3(150)': 1.0, 'CH2F2(41)': 1.0}","{'C3HF4(540)': 1.0, 'CH2F(46)': 1.0}"
2302,-0.0037015174400109995,C3H3F4(86) + CHF2(82) <=> CHF3(42) + S(237),"{'CHF3(42)': 1.0, 'S(237)': 1.0}","{'C3H3F4(86)': 1.0, 'CHF2(82)': 1.0}"
457,0.0036794628897984885,C2HF(58) + CF2(43) <=> CF3CCH(83),{'CF3CCH(83)': 1.0},"{'C2HF(58)': 1.0, 'CF2(43)': 1.0}"
1975,-0.0036536469406354788,HF(38) + S(129) <=> S(237),{'S(237)': 1.0},"{'HF(38)': 1.0, 'S(129)': 1.0}"
3443,0.0036055175528732822,CH2CHF(56) + O(6) <=> CH2CFO(79) + H(5),"{'CH2CFO(79)': 1.0, 'H(5)': 1.0}","{'CH2CHF(56)': 1.0, 'O(6)': 1.0}"
2089,-0.0035800825659987197,CF3CCH(83) + H(5) <=> C3HF2(210) + HF(38),"{'C3HF2(210)': 1.0, 'HF(38)': 1.0}","{'CF3CCH(83)': 1.0, 'H(5)': 1.0}"
17,-0.0035700688465681806,HO2(10) + O(6) <=> O2(3) + OH(2),"{'O2(3)': 1.0, 'OH(2)': 1.0}","{'HO2(10)': 1.0, 'O(6)': 1.0}"
1421,-0.0033302019511459204,C3HF4(84) + CH2F(46) <=> CF3CCH(83) + CH2F2(41),"{'CF3CCH(83)': 1.0, 'CH2F2(41)': 1.0}","{'C3HF4(84)': 1.0, 'CH2F(46)': 1.0}"
174,0.003269344070719398,CH2CO(27) + O(6) <=> CH2(T)(17) + CO2(13),"{'CH2(T)(17)': 1.0, 'CO2(13)': 1.0}","{'CH2CO(27)': 1.0, 'O(6)': 1.0}"
911,-0.0032506546293779477,F(37) + H2(7) <=> H(5) + HF(38),"{'H(5)': 1.0, 'HF(38)': 1.0}","{'F(37)': 1.0, 'H2(7)': 1.0}"
155,-0.0032139910489430673,HCCO(20) + O(6) <=> 2 CO(12) + H(5),"{'CO(12)': 2.0, 'H(5)': 1.0}","{'HCCO(20)': 1.0, 'O(6)': 1.0}"
177,0.0031041794692205056,CH2CO(27) + OH(2) <=> H2O(4) + HCCO(20),"{'H2O(4)': 1.0, 'HCCO(20)': 1.0}","{'CH2CO(27)': 1.0, 'OH(2)': 1.0}"
449,-0.0030988233265296043,C3HF4(147) <=> C3HF4(540),{'C3HF4(540)': 1.0},{'C3HF4(147)': 1.0}
2168,0.0030948969408214288,C3HF2(210) <=> C2H(21) + CF2(43),"{'C2H(21)': 1.0, 'CF2(43)': 1.0}",{'C3HF2(210)': 1.0}
14,-0.00309308846315839,H(5) + HO2(10) <=> H2(7) + O2(3),"{'H2(7)': 1.0, 'O2(3)': 1.0}","{'H(5)': 1.0, 'HO2(10)': 1.0}"
2304,-0.0030086922941525355,CHF2(82) + HCO(14) <=> CH2F2(41) + CO(12),"{'CH2F2(41)': 1.0, 'CO(12)': 1.0}","{'CHF2(82)': 1.0, 'HCO(14)': 1.0}"
905,0.0029801806513147814,C3H3F4(86) + CF3(45) <=> C3H2F4(1) + CHF3(42),"{'C3H2F4(1)': 1.0, 'CHF3(42)': 1.0}","{'C3H3F4(86)': 1.0, 'CF3(45)': 1.0}"
976,-0.0029377903780163596,C3HF4(147) + CF3(45) <=> CF3CCH(83) + CF4(44),"{'CF3CCH(83)': 1.0, 'CF4(44)': 1.0}","{'C3HF4(147)': 1.0, 'CF3(45)': 1.0}"
2100,-0.0028487101168532744,C3H3F4(86) + C3HF2(210) <=> CF3CCH(83) + S(237),"{'CF3CCH(83)': 1.0, 'S(237)': 1.0}","{'C3H3F4(86)': 1.0, 'C3HF2(210)': 1.0}"
520,-0.0028348917534633178,CF3CCH(83) + F(37) <=> C3HF4(147),{'C3HF4(147)': 1.0},"{'CF3CCH(83)': 1.0, 'F(37)': 1.0}"
2093,0.002801341883257248,C2HF(58) + CF2(43) <=> C3HF2(210) + F(37),"{'C3HF2(210)': 1.0, 'F(37)': 1.0}","{'C2HF(58)': 1.0, 'CF2(43)': 1.0}"
