,0,1
282,0.0003687522724259119,0.002573138812017719
283,0.0003871213866033877,0.002643746177184133
284,0.0004057941314483254,0.002714353542350547
285,0.00042476032296155,0.002784960907516961
286,0.0004440099666759248,0.0028555682726833747
287,0.00046353326610176277,0.0029261756378497887
288,0.0004833206300155254,0.0029967830030162026
289,0.0005033626786539563,0.0030673903681826165
290,0.0005236502488731237,0.0031379977333490304
291,0.0005441743983253933,0.0032086050985154443
292,0.0005754531803840775,0.0033147450228386993
293,0.0006072182693641554,0.0034208849471619542
294,0.0006394421809098257,0.003527024871485209
295,0.0006720985991410565,0.003633164795808464
296,0.000705162370383021,0.003739304720131719
297,0.0007386094918222844,0.003845444644454974
298,0.0007724170951259864,0.0039515845687782295
299,0.0008065634247115706,0.0040577244931014845
300,0.000841027811461373,0.0041638644174247395
301,0.0008757906432119682,0.0042700043417479945
302,0.0009108333329179226,0.0043761442660712494
303,0.0009461382848599434,0.004482284190394504
304,0.0009816888591982213,0.004588424114717759
305,0.0010174693353509187,0.004694564039041014
306,0.0010534648747271167,0.004800703963364269
307,0.0011085042626002148,0.00496187764843357
308,0.001163962004489831,0.00512305133350287
309,0.0012197966088423218,0.005284225018572171
310,0.0012759702824423483,0.005445398703641471
311,0.0013324486479249038,0.005606572388710772
312,0.0013892004746090473,0.005767746073780072
313,0.0014461974229189492,0.005928919758849373
314,0.001503413802694383,0.006090093443918673
315,0.001544854713282915,0.0062064818566316135
316,0.0015753079079952122,0.006291841439867792
317,0.0016058087897058543,0.00637720102310397
318,0.0016363545371540422,0.006462560606340148
319,0.001666942476056377,0.0065479201895763265
320,0.001697570072074282,0.006633279772812505
321,0.0017282349239763515,0.006718639356048683
322,0.0017589347569586123,0.006803998939284861
323,0.0017896674162487646,0.006889358522521039
324,0.0018204308610597444,0.006974718105757218
325,0.0018512231588485245,0.007060077688993396
326,0.0018820424798194615,0.007145437272229574
327,0.0019351184193122277,0.00729227917587501
328,0.0019882610579896706,0.007439121079520447
329,0.002041462944726485,0.007585962983165883
330,0.0020947173029766198,0.007732804886811319
331,0.0021480179721137535,0.007879646790456754
332,0.002241399185911902,0.008136648051837045
333,0.002334879010093624,0.008393649313217335
334,0.002428435136854712,0.008650650574597626
335,0.0025220487089068918,0.008907651835977916
336,0.0026157038092037748,0.009164653097358207
337,0.002709387010420663,0.009421654358738497
338,0.0028030869803916687,0.009678655620118787
339,0.0028967941525065116,0.009935656881499078
340,0.0029905004551739702,0.010192658142879368
341,0.0030841990838182403,0.010449659404259659
342,0.003177884303834624,0.01070666066563995
343,0.0032715512817126104,0.01096366192702024
344,0.0033651959435248113,0.01122066318840053
345,0.003458814857045973,0.01147766444978082
346,0.003552405132243692,0.011734665711161111
347,0.0036459643364094804,0.011991666972541401
348,0.0037394904221495634,0.012248668233921692
349,0.003832981666909499,0.012505669495301982
350,0.003926436622262111,0.012762670756682273
351,0.004019854071099574,0.013019672018062563
352,0.0041132329913481066,0.013276673279442854
353,0.0042065725253038755,0.013533674540823144
354,0.004299871953840941,0.013790675802203434
355,0.00439313067470901,0.014047677063583725
356,0.004486348184228825,0.014304678324964015
357,0.0045795240618219935,0.014561679586344306
358,0.004672657956954286,0.014818680847724596
359,0.004765749578140417,0.015075682109104887
360,0.004858798683683927,0.015332683370485177
361,0.00495180507386666,0.015589684631865467
362,0.005044768584356389,0.015846685893245758
363,0.005137689080647905,0.01610368715462605
364,0.005230566453376405,0.016360688416006342
365,0.005323400614370303,0.016617689677386634
366,0.005416191493322595,0.016874690938766927
367,0.005508939034981853,0.01713169220014722
368,0.005574961557805558,0.01731471233721548
369,0.005622077622849965,0.017445359463705803
370,0.005669182467733886,0.017576006590196126
371,0.005716276089444209,0.01770665371668645
372,0.005763358485492283,0.017837300843176772
373,0.005810429653876041,0.017967947969667095
374,0.005857489593040481,0.018098595096157417
375,0.005904538301838003,0.01822924222264774
376,0.005951575779492829,0.018359889349138063
377,0.005998602025570594,0.018490536475628386
378,0.006045617039950734,0.01862118360211871
379,0.00609262082280033,0.01875183072860903
380,0.006139613374549489,0.018882477855099354
381,0.006186594695869046,0.019013124981589677
382,0.006219524430409142,0.019104715636459504
383,0.006242509420221893,0.01916865510935023
384,0.006259122413361234,0.019214873667957932
385,0.0062757340013363475,0.019261092226565635
386,0.006292344184205661,0.019307310785173337
387,0.006308952962030254,0.01935352934378104
388,0.006325560334873823,0.019399747902388742
389,0.006342166302802565,0.019445966460996444
390,0.006358770865885135,0.019492185019604147
391,0.006375374024192519,0.01953840357821185
392,0.006391975777798008,0.01958462213681955
393,0.006417062555038353,0.019654470051704672
394,0.0064421461245449466,0.019724317966589792
395,0.0064672264865984165,0.019794165881474913
396,0.006492303641489595,0.019864013796360033
397,0.006542208141558967,0.020003040408032573
398,0.006592099939272249,0.020142067019705112
399,0.006641979037240475,0.02028109363137765
400,0.006691845438195185,0.02042012024305019
401,0.00679795742529828,0.020716076367935106
402,0.006992848886919526,0.02126006485642004
403,0.007187546288040867,0.021804053344904976
404,0.007382049835838747,0.02234804183338991
405,0.007576359745911319,0.022892030321874847
406,0.00777047623911236,0.023436018810359782
407,0.007964399540189852,0.023980007298844717
408,0.008158129876739539,0.024523995787329653
409,0.00835166747813035,0.025067984275814588
410,0.008545012574612609,0.025611972764299523
411,0.008738165396746989,0.02615596125278446
412,0.008931126175086014,0.026699949741269394
413,0.009123895139978157,0.02724393822975433
414,0.00931647252141868,0.027787926718239264
415,0.009508858548931605,0.0283319152067242
416,0.009701053451486507,0.028875903695209135
417,0.009893057457446544,0.02941989218369407
418,0.010084870794537536,0.029963880672179005
419,0.010276493689828657,0.03050786916066394
420,0.010467926369719821,0.031051857649148876
421,0.010659169059934262,0.03159584613763381
422,0.010850221985515135,0.032139834626118746
423,0.011041085370825434,0.03268382311460368
424,0.011231759439549679,0.03322781160308862
425,0.011422244414697037,0.03377180009157355
426,0.011612540518605158,0.03431578858005849
427,0.011802647972944716,0.03485977706854342
428,0.011992566998724157,0.03540376555702836
429,0.012122055247375304,0.03577497056019172
430,0.012212133754510187,0.03603334752668264
431,0.012302169860298801,0.03629172449317356
432,0.012392163588219984,0.03655010145966448
433,0.01248211496171983,0.0368084784261554
434,0.012572024004211849,0.03706685539264632
435,0.01266189073907709,0.03732523235913724
436,0.012751715189664314,0.03758360932562816
437,0.012841497379290093,0.03784198629211908
438,0.012931237331238984,0.03810036325861
439,0.013020935068763588,0.03835874022510092
440,0.013110590615084714,0.03861711719159184
441,0.013200203993391587,0.03887549415808276
442,0.01328977522684187,0.03913387112457368
443,0.013379304338561835,0.0393922480910646
444,0.01344149117422685,0.03957178803362507
445,0.013484591794847683,0.03969625849859836
446,0.013527682651800111,0.03982072896357165
447,0.01357076374765948,0.03994519942854494
448,0.013613835084999453,0.040069669893518234
449,0.01365689666639207,0.040194140358491524
450,0.013699948494407655,0.040318610823464815
451,0.013742990571614912,0.040443081288438106
452,0.013828174964382023,0.0406895034019755
453,0.013913321169161223,0.0409359255155129
454,0.013998429205828375,0.0411823476290503
455,0.014151597012983387,0.041626108759910595
456,0.014304641223237158,0.04206986989077089
457,0.014457561952055366,0.042513631021631186
458,0.014726777775865077,0.04329574052924752
459,0.014995611021691294,0.044077850036863854
460,0.015264062315885561,0.04485995954448019
